Name,Short Description,Course Type
Front-end developer,"Frontend розробник може легко створити сторінки вебсайту чи вебдодаток. Він відповідає за те, щоб сторінка мала гарний вигляд на різних пристроях, реалізує анімації та інші візуальні ефекти.  Саме завдяки frontend розробнику ти читаєш цей текст зараз :)",full-time
Full-stack developer,"Fullstack developer вміє працювати як з фронтендом, так і з бекендом сайта, що дозволяє релізовувати будь-яку ідею комплексно і самостійно.  Ця професія різноманітна й творча, ти точно не будеш нудьгувати.",full-time
Java developer,"Мова програмування Java існує вже понад 20 років, і її використувають майже в усіх галузях: від мобільних додатків до сайтів, від фінансової сфери до аграрної. Java легко вивчається новачками",full-time
Python developer,"Python дозволяє тобі не тільки розробляти сайти та займатись аналітикою даних, а ще й будувати алгоритми, тестувати програми та навіть створювати штучні інтелекти. Це все лише питання твоїх амбіцій.",full-time
QA engineer,"QA спеціаліст перевіряє IT-продукти на міцність. Він розробляє плани тестування додатків та сайтів, щоб користувачі не стикалися з помилками чи проблемами під час використання продукта.",full-time
UI/UX designer,"UI/UX designer, як професійний шпигун, дізнається про все, що турбує користувача. На основі цього, він робить сайти та додатки зручними й естетичними. Ця професія поєднує в собі як творчість, так і аналітику.",full-time
Front-end developer flex,"Frontend розробник може легко створити сторінки вебсайту чи вебдодаток. Він відповідає за те, щоб сторінка мала гарний вигляд на різних пристроях, реалізує анімації та інші візуальні ефекти.  Саме завдяки frontend розробнику ти читаєш цей текст зараз :)",part-time
Full-stack developer flex,"Fullstack developer вміє працювати як з фронтендом, так і з бекендом сайта, що дозволяє релізовувати будь-яку ідею комплексно і самостійно.  Ця професія різноманітна й творча, ти точно не будеш нудьгувати.",part-time
Java developer flex,"Мова програмування Java існує вже понад 20 років, і її використувають майже в усіх галузях: від мобільних додатків до сайтів, від фінансової сфери до аграрної. Java легко вивчається новачками",part-time
Python developer flex,"Python дозволяє тобі не тільки розробляти сайти та займатись аналітикою даних, а ще й будувати алгоритми, тестувати програми та навіть створювати штучні інтелекти. Це все лише питання твоїх амбіцій.",part-time
QA engineer flex,"QA спеціаліст перевіряє IT-продукти на міцність. Він розробляє плани тестування додатків та сайтів, щоб користувачі не стикалися з помилками чи проблемами під час використання продукта.",part-time
UI/UX designer flex,"UI/UX designer, як професійний шпигун, дізнається про все, що турбує користувача. На основі цього, він робить сайти та додатки зручними й естетичними. Ця професія поєднує в собі як творчість, так і аналітику.",part-time
Recruiter flex,"Рекрутери підбирають найкращих кандидатів для IT компаній. З ними завжди всі хочуть мати гарні стосунки, бо вони найперші отримують інформацію про відкриті позиції. Їх основна задача — знайти ідеального кандидата і покращити роботу команди.",part-time
DevOps engineer flex,"DevOps інженери відповідають за автоматизацію процесів розробки, тестування та випуску продукту. Вони знають, як зробити розробку швидкою, ефективною та безпечною.",part-time
Digital Marketing ,"Digital-маркетолог використовує цифрові канали для залучення аудиторії і просування брендів, товарів і послуг. Він використовує різноманітні стратегії, соціальні мережі, пошуковий маркетинг, контент-маркетинг та інші інструменти для досягнення мети компанії чи бізнесу.",part-time
